city,latitude,longitude,event_count
Bhusawal,21.0399,75.7863,123
Murshidābād,24.1844,88.2673,122
Bīrbhūm District,24.0009,87.5876,122
Kuzhithurai,8.3165,77.1882,119
Alwar,27.5634,76.626,118
Gāndhīdhām,23.0803,70.1341,117
Morādābād,28.8395,78.7699,116
Samāstipur,25.8684,85.7827,116
Farīdkot,30.6718,74.7648,115
Amravati,20.927,77.7476,114
Hanamkonda,18.018,79.57,113
Nāgaur,27.1972,73.7307,113
Deesa,24.2597,72.1855,113
Roorkee,29.8637,77.8835,112
Sangamner,19.5642,74.2082,111
Howrah,22.574,88.3191,111
Lātehār,23.7427,84.491,111
Bijapur,16.8276,75.7176,109
Biaora,23.9207,76.9143,109
Kim,21.4008,72.9268,109
Murbād,19.249,73.3904,108
Prothrapur,11.618,92.7244,108
Nandyāl,15.478,78.4836,106
Anjār,23.1128,70.0226,106
Phagwāra,31.2281,75.7787,106
Chinnāyagūdem,17.044,81.4776,106
Kanchipuram,12.8378,79.6973,106
Karīmganj,24.8653,92.3566,106
Ponnūru,16.0686,80.5523,105
Tālīkota,16.4686,76.3089,103
Nawanshahr,31.1288,76.1074,103
Tirur,10.915,75.9202,99
Rasipuram,11.4575,78.1914,98
Porbandar,21.6398,69.6062,98
Pollachi,10.6552,77.0128,97
Kadayanallur,9.0758,77.3479,95
Verāval,20.9094,70.364,95
Harda,22.3449,77.093,94
Shirdi,19.7629,74.4727,92
Haridwar,29.9478,78.1628,92
Sohna,28.244,77.0582,92
Darjeeling,27.0339,88.2712,91
Kulgam,33.6476,75.0163,90
Srikalahasti,13.7621,79.7006,90
Firozpur,30.9208,74.6206,90
Solan,30.9085,77.1022,90
Sivaganga,9.8497,78.488,89
Brahmapur,19.3075,84.7931,89
Tonk,26.1631,75.7918,88
Dadri,28.5525,77.5585,88
Punalūr,9.0202,76.9267,87
Neyveli,11.6112,79.4972,86
Hāpur,28.7328,77.7881,86
Koni,9.2269,76.8449,86
Modāsa,23.4698,73.301,84
Chengalpattu,12.6936,79.9834,82
Nainital,29.4012,79.4483,82
Jogipet,17.8319,78.0693,82
Kōttakkal,11.0008,76.0138,82
Mayiladuthurai,11.1063,79.655,82
Bijnor,29.3755,78.1319,81
Naihāti,22.893,88.4109,80
Banjara Hills,17.4163,78.4371,80
Ellenabad,29.4505,74.6588,80
Anchal,8.9287,76.9163,79
Kharagpur,22.3448,87.33,79
Chākdaha,23.077,88.5269,79
Surendranagar,22.7168,71.6502,78
Namakkal,11.2203,78.1663,78
Batāla,31.8108,75.2094,78
Aligarh,27.8796,78.0762,78
Ghansoli,19.1168,72.984,77
Indirapuram,28.6435,77.368,77
Chamba,32.5488,76.1264,76
Āndimatam,11.3365,79.3752,76
Nizāmābād,18.6755,78.1029,75
Dharamsala,32.2146,76.3137,75
Eraniel,8.2092,77.3164,73
Najībābād,29.6193,78.3389,73
Moga,30.8196,75.1703,73
Pilāni,28.3635,75.5958,73
Secunderabad,17.5156,78.5428,73
Rāmdaspeth,21.1299,79.0756,73
Hosūr,12.7333,77.8367,72
Bārdoli,21.1171,73.1175,71
Bikaner,28.0175,73.3193,71
Fatehgarh,29.8724,75.4976,70
Chīrāla,15.8202,80.3589,70
South Goa,15.2033,74.1675,69
Puruliya,23.3325,86.3708,69
Kaikalūr,16.5496,81.2133,68
Pelling,27.3045,88.235,68
Pallikaranai,12.9401,80.2187,68
Kalyani,22.9749,88.4346,68
Cuddalore,11.7541,79.7663,67
Baddi,30.9634,76.7907,67
Bahadurgarh,28.6929,76.9356,67
Baijnāth,32.0533,76.647,67
Tezpur,26.6351,92.803,66
Paravūr,9.4498,76.3521,65
Hāthras,27.594,78.057,63
Curtorim,15.2785,74.0236,62
Gyalshing,27.2891,88.2639,62
Kharar,30.743,76.6534,62
Karaikudi,10.0666,78.7703,62
Mahesāna,23.5919,72.3881,61
Beltangadi,13.9812,75.2973,61
Chinna Salem,11.6382,78.8739,59
Dhanbad,23.8006,86.4283,59
Begusarai,25.4197,86.1362,59
Garhshankar,31.219,76.1437,59
Namchi,27.1612,88.3655,59
Amroha,28.8984,78.4741,58
Karanjiā,21.7626,85.9732,57
Jūnāgadh,21.519,70.456,56
Ghātāl,22.661,87.7316,56
Mandrem,15.65,73.7297,55
Suriāpet,17.1454,79.6154,55
Abohar,30.1442,74.2023,54
Perinād,9.1109,76.4717,53
Dibrugarh,27.4833,94.906,52
Budaun,28.0381,79.1267,52
Himatnagar,23.6011,72.9681,52
Bāli,22.6472,88.337,52
Thanjavur,10.7831,79.1359,52
Pudukkottai,10.3843,78.8209,51
Darbhanga,26.1486,85.8973,50
Bhatkal,13.9824,74.5523,50
Upleta,21.7403,70.2897,49
Siwān,26.2243,84.3542,49
Changanassery,9.442,76.5401,49
Kovilpatti,9.1737,77.8694,48
Hājīpur,25.6885,85.2116,48
Narasankuppam,12.5686,80.1193,47
Yanam,16.7312,82.2167,46
Fazilka,30.3967,74.0291,46
Khagaria,25.4983,86.4684,46
Mathura,27.4987,77.6669,46
Vizianagaram,18.1194,83.4116,45
Paradip,20.3148,86.6065,45
Patti,31.2803,74.8651,45
Haldwani,29.2248,79.5313,45
Mananthavady,11.7987,75.999,43
Reddipalli,14.0897,79.229,43
Pathankot,32.2827,75.6497,42
Dindigul,10.3631,77.9854,42
Toshām,28.8739,75.917,42
Jaunpur,25.7536,82.6869,42
Tānda,31.6708,75.6184,41
Lonavla,18.751,73.4011,41
Bongaigaon,26.4763,90.5537,41
Perungudi,12.965,80.2408,41
Dharmapuri,18.0876,83.4124,40
Gudiyatham,12.9407,78.8754,40
Sahāranpur,29.9654,77.5428,40
Ambasamudram,8.7113,77.4494,39
Nāmkhāna,21.7587,88.2172,38
Sawombung,24.8853,94.0066,38
Bargarh,21.3316,83.6221,38
Bānda,25.4783,80.3327,38
Tiruchchendur,8.501,78.1295,37
Gumia,23.8071,85.8347,37
Rāichūr,16.2094,77.3551,37
Bhiwadi,28.2081,76.8626,36
Bāndhdīh,23.2461,85.7905,36
Sāvantvādi,15.9041,73.8219,36
Sattur,9.3568,77.9286,36
Bhadohi,25.3957,82.5748,36
Fatehābād,29.517,75.4585,36
Verna,15.355,73.9206,35
Barnāla,30.3728,75.5413,35
Rajapalayam,9.4506,77.5474,35
Chandrakona,22.7331,87.5144,34
Mau,25.9394,83.5627,34
Bareilly,28.3667,79.4285,34
Jalpāiguri,26.5161,88.7363,33
Jālna,19.8411,75.8897,33
Hatti,16.2018,76.6581,32
Bairāgnia,26.7357,85.2712,32
Kumarapalayam,11.4459,77.7104,32
Unnāo,26.5461,80.4847,31
Kumbakonam,10.9706,79.3853,30
Kanniyākumāri,8.0951,77.5394,30
Ambikāpur,23.1181,83.1921,30
Peron,29.9061,75.2027,29
Khandwa,21.8303,76.3471,29
Jewar,28.1198,77.5486,29
Anklav,22.38,73.0018,28
Mannargudi,10.6681,79.4504,28
Baghra,29.4668,77.5842,28
Samālkha,29.2384,77.0084,28
Vetapālem,15.7847,80.3107,28
Kālka,29.2078,77.1023,28
Amethī,26.1607,81.8034,28
Bhilwara,25.3399,74.645,27
Malegaon,20.5493,74.5309,27
Sitārganj,28.9321,79.7017,26
Idukki,9.8466,76.9689,26
Haldia,22.0597,88.1101,25
Jagatsinghapur,20.2542,86.1651,25
Mambakkam,12.8357,80.1635,25
Hodal,27.892,77.3642,25
Ariyakudi,9.4087,78.6809,25
Sunām,30.1287,75.7967,25
Sheikhpura,25.1385,85.8438,25
Aurangābād,24.7579,84.3685,24
Greater Noida,28.4927,77.5358,24
Kumta,14.4329,74.4162,24
Jīnd,29.3146,76.3185,24
Mangalagiri,16.431,80.5724,24
Azīmganj,24.2276,88.2656,23
Nalgonda,17.053,79.265,23
Pātan,23.8468,72.1289,23
Vyāra,21.1156,73.3894,23
Dakshineswar,22.6531,88.3705,22
Valappakudi,10.8649,79.0042,22
Rabūpura,28.2515,77.6025,22
Chandmari,27.3379,88.6226,21
Kushālnagar,12.4593,75.9614,21
Shāntipur,23.2554,88.433,21
Gondiā,21.4603,80.192,20
Jagdalpur,19.0793,82.0147,20
Bihar,25.7472,85.7468,20
Bālāghāt,21.8176,80.1923,20
Koppa,13.5274,75.3606,19
Marthandam,8.305,77.2191,19
Mālūr,13.0,77.9365,19
Una,31.4628,76.273,19
Tanuku,16.7577,81.6844,18
Vrindāvan,27.5843,77.6938,18
Kālikāvu,11.1641,76.3278,17
Lūnāvāda,23.1312,73.6176,17
Amalāpuram,16.5806,82.0089,17
Koch Bihār,26.3234,89.4464,17
Nandurbar,21.364,74.2328,17
Māyāpur,22.4161,88.1135,17
Thoubāl,24.6416,93.9923,16
Bela,30.9307,76.4036,16
Sāmalāpuram,11.0724,77.198,16
Diamond Harbour,22.1876,88.1805,16
Dimāpur,25.9169,93.7274,16
Samrāla,30.8414,76.1997,16
Aluva,10.1069,76.3476,15
Khanna,30.6975,76.2315,15
Padghe,19.3611,73.1787,15
Ambarnath,19.1965,73.1579,14
Neemrana,27.9923,76.39,14
Barbigha,25.2136,85.7381,14
Udaipur,23.5328,91.4947,14
Narasaraopet,16.2393,80.0476,14
Khordha,20.1826,85.6181,13
Bhilai,21.2129,81.4293,13
Daman,20.4126,72.8292,13
Hugli,22.9108,88.4001,12
Pālanpur,24.1739,72.4349,12
Jaleshwar,21.8049,87.2167,12
Behror,27.8921,76.2752,11
Dasūya,31.8174,75.6473,11
Kātoya,23.6419,88.1329,11
Bhandāra,21.1715,79.6503,11
Bāzpur,29.1547,79.1039,11
Sāgar,22.2702,79.4258,11
Mundhva,18.5367,73.9303,11
Kandukūr,13.7652,78.1607,11
Hazaribagh,23.9906,85.3644,10
Nagapattinam,10.7624,79.8535,10
Gondal,21.9618,70.8056,10
Mahāsamund,21.1061,82.0908,10
Pawni,20.7871,79.6316,9
Kothapeta,13.5548,79.0871,9
Krishnagiri,12.5191,78.2104,9
Chikhli,20.3505,76.2577,9
Khārol,23.0149,73.46,8
Kanakapura,12.5421,77.4263,8
Thara,23.975,71.8164,8
Bokaro,23.6679,86.1565,8
Ballia,25.7601,84.1477,8
Mainpuri,27.2286,79.0332,7
Gujarat,22.9981,71.75,7
Naharlagun,27.1055,93.6926,7
Duliajan,27.3718,95.3255,7
Umbraj,17.4044,74.1046,7
Nabadwip,23.4012,88.371,7
Anekal,12.7059,77.6947,6
Āsandh,29.5212,76.6055,6
Narnaul,28.0486,76.1022,6
Mandi Dabwāli,29.9639,74.6984,6
Chandrakona Road,22.7361,87.3266,6
Tiruchengode,11.3823,77.8966,5
Chāpra,25.7838,84.7468,5
Morvi,22.8205,70.8403,5
Katihar,25.5406,87.5667,5
Jhajjar,28.6036,76.6497,5
Godda,24.8269,87.2181,5
Forbesganj,26.3063,87.2668,5
Ghanaur,30.334,76.6171,5
Chinchvad,18.6263,73.7885,5
Baripāda,21.9345,86.7246,4
Jatheri,29.7431,76.5498,4
Sāmalkot,17.0592,82.1736,4
Bettiah,26.8094,84.502,4
Kālol,22.6083,73.4627,4
Kapadvanj,23.0201,73.0741,4
Baberu,25.5451,80.7005,4
Pulivendla,14.4205,78.2293,4
Galsi,23.3379,87.6932,4
Charkhi Dādri,28.5899,76.2684,3
Rāmgarh,23.6322,85.5261,3
Bālehonnūr,13.35,75.4653,3
Badaganhatti,13.8006,76.6029,3
Vadodra,20.816,70.5166,3
Balāngīr,20.7079,83.489,3
Kūrāli,30.8381,76.5817,3
Nāthūpur,28.8968,77.0981,3
Theni,10.0127,77.4744,3
Rāmpur,25.5938,83.1805,3
Kharadi,18.5588,73.9446,2
Dispur,26.1404,91.7935,2
Farakka,24.8169,87.9045,2
Santa Cruz,19.0812,72.8278,2
Sākoli,21.0831,79.9921,2
Karnataka,14.6701,75.8322,2
Jorhat,26.7565,94.2062,2
Ahilyanagar,19.0911,74.7312,2
Deoghar,24.489,86.7028,2
Bagalkot,16.1916,75.6945,2
Muradnagar,28.7796,77.4847,1
Karīmpur,23.975,88.6183,1
Nanded,19.1556,77.3148,1
Bānposh,22.2511,84.8073,1
Rāmachandrapuram,16.8344,82.0332,1
