city,latitude,longitude,event_count
Ahilyanagar,21.173,78.5652,6
Kōttakkal,11.0008,76.0138,6
Kalpatta,11.6032,76.0793,6
Verna,15.355,73.9206,6
Gorakhpur,26.7631,83.3729,5
Airoli,19.1518,72.9958,5
Ratlām,23.3279,75.0481,5
Sivaganga,9.8497,78.488,5
Sirsa,29.5386,75.0272,5
Bikaner,28.0175,73.3193,5
Khandwa,21.8303,76.3471,5
Pedana,16.259,81.1421,5
Reddipalli,14.0897,79.229,5
Hosūr,12.7333,77.8367,5
Ellenabad,29.4505,74.6588,5
Perungudi,12.965,80.2408,5
Bhiwadi,28.2081,76.8626,5
Najībābād,29.6193,78.3389,5
Punalūr,9.0202,76.9267,5
Chākdaha,23.077,88.5269,5
Damoh,23.8342,79.4429,5
Anantapur,14.6769,77.6124,5
Jūnāgadh,21.519,70.456,5
Karīmganj,24.8653,92.3566,5
Kaikalūr,16.5496,81.2133,5
Namchi,27.1612,88.3655,5
Upleta,21.7403,70.2897,5
Karjat,18.9085,73.3248,5
Rāichūr,16.2094,77.3551,5
Gyalshing,27.2891,88.2639,4
Nawanshahr,31.1288,76.1074,4
Pollachi,10.6552,77.0128,4
Rasipuram,11.4575,78.1914,4
Nāgaur,27.1972,73.7307,4
Puruliya,23.3325,86.3708,4
Ghansoli,19.1168,72.984,4
Porbandar,21.6398,69.6062,4
Ponnūru,16.0686,80.5523,4
Pathankot,32.2827,75.6497,4
Darbhanga,26.1486,85.8973,4
Srikalahasti,13.7621,79.7006,4
Samāstipur,25.8684,85.7827,4
Arāria,26.1519,87.5162,4
Balasore,21.4938,86.9383,4
Tonk,26.1631,75.7918,4
Kulanada,9.25,76.6741,4
Tezpur,26.6351,92.803,4
Biaora,23.9207,76.9143,4
Kovilpatti,9.1737,77.8694,4
Bijapur,16.8276,75.7176,4
Sohna,28.244,77.0582,4
Siwān,26.2243,84.3542,4
Amroha,28.8984,78.4741,4
Korba,22.3403,82.6928,4
Yanam,16.7312,82.2167,4
Khargone,21.82,75.6157,4
Naihāti,22.893,88.4109,4
Chamba,32.5488,76.1264,4
Karaikudi,10.0666,78.7703,4
Amalāpuram,16.5806,82.0089,3
Verāval,20.9094,70.364,3
Tirur,10.915,75.9202,3
Darjeeling,27.0339,88.2712,3
Bairāgnia,26.7357,85.2712,3
Chandrakona,22.7331,87.5144,3
Bhagalpur,25.253,86.9683,3
South Goa,15.2033,74.1675,3
Brahmapur,19.3075,84.7931,3
Bānda,25.4783,80.3327,3
Bīrbhūm District,24.0009,87.5876,3
Rewāri,28.193,76.6124,3
Sheikhpura,25.1385,85.8438,3
Pilāni,28.3635,75.5958,3
Āndimatam,11.3365,79.3752,3
Narasankuppam,12.5686,80.1193,3
Pallikaranai,12.9401,80.2187,3
Malegaon,20.5493,74.5309,3
Mādhoganj,27.1219,80.1401,3
Mahesāna,23.5919,72.3881,3
Hāthras,27.594,78.057,3
Jālna,19.8411,75.8897,3
Modāsa,23.4698,73.301,3
Harda,22.3449,77.093,3
Neyveli,11.6112,79.4972,3
Kayamkulam,9.1814,76.502,3
Murshidābād,24.1844,88.2673,3
Paravūr,9.4498,76.3521,3
Kharar,30.743,76.6534,3
Bālāghāt,21.8176,80.1923,2
Samālkha,29.2384,77.0084,2
Namakkal,11.2203,78.1663,2
Dimāpur,25.9169,93.7274,2
Kalyani,22.9749,88.4346,2
Kātoya,23.6419,88.1329,2
Lonavla,18.751,73.4011,2
Bhandāra,21.1715,79.6503,2
Mangalagiri,16.431,80.5724,2
Haridwar,29.9478,78.1628,2
Bāndhdīh,23.2461,85.7905,2
Shirdi,19.7629,74.4727,2
Garhshankar,31.219,76.1437,2
Baddi,30.9634,76.7907,2
Pelling,27.3045,88.235,2
Baghra,29.4668,77.5842,2
Bahadurgarh,28.6929,76.9356,2
Hāpur,28.7328,77.7881,2
Bongaigaon,26.4763,90.5537,2
Batāla,31.8108,75.2094,2
Baijnāth,32.0533,76.647,2
Mananthavady,11.7987,75.999,2
Sivakasi,9.4463,77.795,2
Samrāla,30.8414,76.1997,2
Galsi,23.3379,87.6932,2
Fatehgarh,29.8724,75.4976,2
Khagaria,25.4983,86.4684,2
Dadri,28.5525,77.5585,2
Ghātāl,22.661,87.7316,2
Marthandam,8.305,77.2191,2
Kulgam,33.6476,75.0163,2
Cuddalore,11.7541,79.7663,2
Sahāranpur,29.9654,77.5428,2
Nizāmābād,18.6755,78.1029,2
Koppa,13.5274,75.3606,2
Firozpur,30.9208,74.6206,2
Jagdalpur,19.0793,82.0147,2
Indirapuram,28.6435,77.368,2
Bhusawal,21.0399,75.7863,2
Anjār,23.1128,70.0226,2
Alwar,27.5634,76.626,2
Chinna Salem,11.6382,78.8739,2
Nandurbar,21.364,74.2328,2
Anklav,22.38,73.0018,2
Jaleshwar,21.8049,87.2167,2
Jogipet,17.8319,78.0693,1
Bareilly,28.3667,79.4285,1
Bargarh,21.3316,83.6221,1
Toshām,28.8739,75.917,1
Ballia,25.7601,84.1477,1
Peron,29.9061,75.2027,1
Kushālnagar,12.4593,75.9614,1
Jīnd,29.3146,76.3185,1
Udaipur,23.5328,91.4947,1
Khanna,30.6975,76.2315,1
Koni,9.2269,76.8449,1
Aluva,10.1069,76.3476,1
Ambasamudram,8.7113,77.4494,1
Kothapeta,13.5548,79.0871,1
Vrindāvan,27.5843,77.6938,1
Kumarapalayam,11.4459,77.7104,1
Vetapālem,15.7847,80.3107,1
Kumta,14.4329,74.4162,1
Karanjiā,21.7626,85.9732,1
Ariyakudi,9.4087,78.6809,1
Jaunpur,25.7536,82.6869,1
Unnāo,26.5461,80.4847,1
Una,31.4628,76.273,1
Azīmganj,24.2276,88.2656,1
Tiruchchendur,8.501,78.1295,1
Hugli,22.9108,88.4001,1
Begusarai,25.4197,86.1362,1
Rajapalayam,9.4506,77.5474,1
Nalgonda,17.053,79.265,1
Changanassery,9.442,76.5401,1
Chikhli,20.3505,76.2577,1
Chinnāyagūdem,17.044,81.4776,1
Haldwani,29.2248,79.5313,1
Neemrana,27.9923,76.39,1
Gumia,23.8071,85.8347,1
Gudiyatham,12.9407,78.8754,1
Nāmkhāna,21.7587,88.2172,1
Curtorim,15.2785,74.0236,1
Mannargudi,10.6681,79.4504,1
Dakshineswar,22.6531,88.3705,1
Pālanpur,24.1739,72.4349,1
Daman,20.4126,72.8292,1
Padghe,19.3611,73.1787,1
Dasūya,31.8174,75.6473,1
Fīrozābād,28.7074,77.8266,1
Dhār,22.6008,75.2969,1
Dhūri,30.3659,75.8657,1
Perinād,9.1109,76.4717,1
Chandmari,27.3379,88.6226,1
Nainital,29.4012,79.4483,1
Sattur,9.3568,77.9286,1
Secunderabad,17.5156,78.5428,1
Jalpāiguri,26.5161,88.7363,1
Thanjavur,10.7831,79.1359,1
Sāgar,22.2702,79.4258,1
Bhilai,21.2129,81.4293,1
Idukki,9.8466,76.9689,1
Morādābād,28.8395,78.7699,1
Bihar,25.7472,85.7468,1
Hājīpur,25.6885,85.2116,1
Dibrugarh,27.4833,94.906,1
Muzaffarpur,26.1192,85.3963,1
Sitārganj,28.9321,79.7017,1
Hodal,27.892,77.3642,1
Himatnagar,23.6011,72.9681,1
Nagapattinam,10.7624,79.8535,1
Shāntipur,23.2554,88.433,1
Budaun,28.0381,79.1267,1
Bāli,22.6472,88.337,1
Hatti,16.2018,76.6581,1
Naharlagun,27.1055,93.6926,1
Khordha,20.1826,85.6181,1
